DayIndex,Date,Hour,Team,Minimo,Capacity,LB_slot
24,2021-11-24,11-12,B,4,19,0
24,2021-11-24,12-13,A,4,19,0
24,2021-11-24,12-13,B,4,19,0
24,2021-11-24,13-14,A,4,19,0
24,2021-11-24,13-14,B,4,19,0
24,2021-11-24,14-15,A,4,19,0
24,2021-11-24,14-15,B,4,19,0
24,2021-11-24,15-16,A,3,19,0
24,2021-11-24,15-16,B,2,19,0
24,2021-11-24,16-17,A,2,19,0
24,2021-11-24,16-17,B,2,19,0
24,2021-11-24,17-18,A,3,19,0
24,2021-11-24,17-18,B,2,19,0
24,2021-11-24,18-19,A,4,19,0
24,2021-11-24,18-19,B,2,19,0
24,2021-11-24,19-20,A,4,19,0
24,2021-11-24,19-20,B,3,19,0
24,2021-11-24,20-21,A,4,19,0
24,2021-11-24,20-21,B,3,19,0
24,2021-11-24,21-22,A,3,19,0
24,2021-11-24,21-22,B,2,19,0
25,2021-11-25,09-10,A,3,19,0
25,2021-11-25,09-10,B,2,19,0
25,2021-11-25,10-11,A,3,19,0
25,2021-11-25,10-11,B,2,19,0
25,2021-11-25,11-12,A,4,19,0
25,2021-11-25,11-12,B,2,19,0
25,2021-11-25,12-13,A,4,19,0
25,2021-11-25,12-13,B,4,19,0
25,2021-11-25,13-14,A,4,19,0
25,2021-11-25,13-14,B,4,19,0
25,2021-11-25,14-15,A,4,19,0
25,2021-11-25,14-15,B,4,19,0
25,2021-11-25,15-16,A,3,19,0
25,2021-11-25,15-16,B,1,19,0
25,2021-11-25,16-17,A,2,19,0
25,2021-11-25,16-17,B,1,19,0
25,2021-11-25,17-18,A,3,19,0
25,2021-11-25,17-18,B,2,19,0
25,2021-11-25,18-19,A,4,19,0
25,2021-11-25,18-19,B,3,19,0
25,2021-11-25,19-20,A,4,19,0
25,2021-11-25,19-20,B,3,19,0
25,2021-11-25,20-21,A,4,19,0
25,2021-11-25,20-21,B,3,19,0
25,2021-11-25,21-22,A,2,19,0
25,2021-11-25,21-22,B,1,19,0
26,2021-11-26,09-10,A,4,19,0
26,2021-11-26,09-10,B,4,19,0
